X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.0319532193131,38.916651190491,23177659,2023/10/29 04:56:17+00,MIDNIGHT,OTHERS,THEFT/OTHER,1921 - 1999 BLOCK OF 14TH STREET NW,397229.1,138753.34,2,2F,3,301,Cluster 3,004300 4,004300,Precinct 141,38.9166434001,-77.0319509248,,2023/10/28 23:48:00+00,2023/10/29 00:23:00+00,431652444,
-76.975435758023,38.8901201297459,23177681,2023/10/29 01:11:33+00,EVENING,OTHERS,THEFT F/AUTO,1900 - 2199 BLOCK OF EAST CAPITOL STREET,402131.29,135807.98,7,7D,1,108,Cluster 25,006804 1,006804,Precinct 80,38.8901123426,-76.9754334827,,2023/10/21 16:00:00+00,2023/10/21 22:00:00+00,431652445,
-76.9883105842899,38.9002089774586,23177805,2023/10/29 06:22:25+00,MIDNIGHT,GUN,ROBBERY,H STREET NE AND 13TH STREET NE,401014.17999889,136927.6999965,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,38.9002011888,-76.9883083044,,2023/10/29 04:28:00+00,2023/10/29 04:35:00+00,431652446,
-76.9790115325313,38.8701164267653,23172933,2023/10/22 12:24:25+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1600 - 1637 BLOCK OF 18TH STREET SE,401821.581055643,133587.3395454,8,8A,6,607,Cluster 34,007601 4,007601,Precinct 140,38.8701086442,-76.9790092579,,2023/10/20 16:07:00+00,2023/10/20 16:54:00+00,431652458,
-76.9706424969345,38.865285037769,23174291,2023/10/23 01:28:59+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2516 - 2598 BLOCK OF NAYLOR ROAD SE,402548.02,133051.22,7,7B,6,606,Cluster 35,007604 3,007604,Precinct 113,38.8652772555,-76.9706402247,,2023/10/23 00:53:00+00,2023/10/23 01:33:00+00,431652459,
-77.0614010632527,38.9382492081388,23174356,2023/10/23 04:15:52+00,MIDNIGHT,OTHERS,THEFT/OTHER,3000 - 3099 BLOCK OF RODMAN STREET NW,394676.89,141152.21,3,3C,2,203,Cluster 15,000600 1,000600,Precinct 27,38.9382414145,-77.0613987583,,2023/10/22 21:30:00+00,2023/10/24 01:00:00+00,431652460,
-76.9724116034162,38.9191294145608,23174719,2023/10/24 02:20:29+00,EVENING,OTHERS,THEFT F/AUTO,2100 - 2148 BLOCK OF QUEENS CHAPEL ROAD NE,402392.68,139028.32,5,5C,5,503,Cluster 22,011100 1,011100,Precinct 71,38.9191216215,-76.9724093273,,2023/10/07 04:01:00+00,2023/10/07 06:00:00+00,431652461,
-76.9756883875662,38.8894911582637,23173555,2023/11/02 09:58:48+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1900 - 2099 BLOCK OF EAST CAPITOL STREET,402109.39151991,135738.153435396,7,7D,1,107,Cluster 26,006804 1,006804,Precinct 80,38.8894833716,-76.975686112,,2023/10/21 11:00:00+00,2023/10/22 02:00:00+00,431652514,
-77.0332566388807,38.9096593644672,23186420,2023/11/13 20:56:18+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,397115.78,137977.23,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 16,38.9096515756,-77.0332543444,,2023/11/13 20:42:00+00,2023/11/13 20:44:00+00,431652524,
-76.984881444204,38.9212040587006,23186817,2023/11/14 16:14:44+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1355 - 1399 BLOCK OF DOWNING STREET NE,401311.25,139258.37,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,38.9211962657,-76.9848791641,,2023/11/14 12:30:00+00,,431652525,
-76.9783414533949,38.9282412299769,23187260,2023/11/15 09:35:04+00,MIDNIGHT,OTHERS,BURGLARY,1803 - 1820 BLOCK OF HAMLIN STREET NE,401878.2,140039.67,5,5B,,,Cluster 22,009400 2,009400,Precinct 70,38.9282334353,-76.9783391749,,2023/11/15 08:37:00+00,2023/11/15 08:43:00+00,431652526,
-77.0588789953229,38.9362028291005,23187575,2023/11/15 22:30:12+00,EVENING,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9361950358,-77.0588766912,,2023/11/15 02:09:00+00,2023/11/15 02:12:00+00,431652527,
-77.0251043512747,38.9402851823493,23187716,2023/11/16 03:25:16+00,EVENING,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF GEORGIA AVENUE NW,397823.78,141376.73,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.940277387,-77.0251020575,,2023/11/16 01:52:00+00,2023/11/16 02:46:00+00,431652528,
-76.9312638326391,38.8775920897114,23187981,2023/11/16 17:35:17+00,DAY,OTHERS,THEFT/OTHER,5000 - 5069 BLOCK OF BENNING ROAD SE,405964.51,134419.23,7,7E,6,604,Cluster 33,007707 3,007707,Precinct 106,38.8775843035,-76.9312615719,,2023/11/16 17:18:00+00,,431652529,
-76.9973156489295,38.8842786187284,23188108,2023/11/16 21:45:41+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF D STREET SE,400233.100318169,135159.243802858,6,6B,1,107,Cluster 26,006500 2,006500,Precinct 89,38.8842708336,-76.997313367,,2023/11/08 10:03:00+00,2023/11/08 10:03:00+00,431652530,
-77.0250889690705,38.9667160813021,23188667,2023/11/17 23:03:26+00,EVENING,GUN,ROBBERY,800 - 899 BLOCK OF SOMERSET PLACE NW,397825.92,144310.8,4,4B,4,402,Cluster 17,001901 3,001901,Precinct 59,38.9667082806,-77.0250866736,,2023/11/17 20:45:00+00,,431652531,
-77.0106955003239,38.8677714968423,23188755,2023/11/18 02:12:08+00,EVENING,GUN,ROBBERY,1800 - 1899 BLOCK OF HALF STREET SW,399072.01,133326.88,6,6D,1,105,Cluster 9,006400 2,006400,Precinct 127,38.8677637155,-77.0106932154,CAPITOL RIVERFRONT,2023/11/18 00:38:00+00,2023/11/18 02:07:00+00,431652532,
-77.0364311055529,38.9434749192534,23189617,2023/11/19 19:34:02+00,DAY,OTHERS,THEFT F/AUTO,4300 - 4399 BLOCK OF 16TH STREET NW,396841.95,141731.15,4,4E,4,404,Cluster 18,002501 2,002501,Precinct 48,38.9434671237,-77.036428808,,2023/11/19 17:38:00+00,2023/11/19 18:00:00+00,431652533,
-77.0230740234487,38.9542197904104,23190041,2023/11/20 16:44:35+00,DAY,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF INGRAHAM STREET NW,398000.19,142923.55,4,4D,4,403,Cluster 18,002101 3,002101,Precinct 56,38.9542119921,-77.0230717294,,2023/11/20 15:23:00+00,2023/11/20 15:27:00+00,431652534,
-76.9973070988233,38.9002111525877,23190166,2023/11/20 23:36:00+00,EVENING,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF H STREET NE,400233.79,136927.88,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,38.9002033642,-76.9973048161,,2023/10/28 19:13:00+00,2023/11/20 20:14:00+00,431652535,
-76.9586628422557,38.8852210965147,23190247,2023/11/21 03:06:19+00,EVENING,OTHERS,THEFT/OTHER,3300 - 3399 BLOCK OF DUBOIS PLACE SE,403586.684865281,135264.674554956,7,7B,6,603,Cluster 32,007708 2,007708,Precinct 132,38.8852133094,-76.9586605729,,2023/11/20 21:19:00+00,2023/11/20 22:49:00+00,431652536,
-77.0040343821907,38.8775381974498,23190271,2023/11/21 01:21:08+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,140 - 199 BLOCK OF L STREET SE,399650.13,134411.01,8,8F,1,106,Cluster 27,007203 4,007203,Precinct 131,38.8775304139,-77.0040320988,CAPITOL RIVERFRONT,2023/11/20 22:33:00+00,2023/11/20 22:36:00+00,431652537,
-76.9205157516943,38.8952706206508,23175190,2023/10/24 20:04:20+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,400 - 499 BLOCK OF 56TH STREET NE,406895.423780352,136382.439867994,7,7C,6,608,Cluster 31,007808 3,007808,Precinct 95,38.8952628302,-76.9205134934,,2023/10/24 19:01:00+00,2023/10/24 20:04:00+00,431652873,
-76.9869109005111,38.8828468125219,23175345,2023/10/25 01:54:37+00,EVENING,OTHERS,BURGLARY,1300 - 1399 BLOCK OF E STREET SE,401135.869855007,135000.380250711,6,6B,1,106,Cluster 26,006900 2,006900,Precinct 91,38.8828390269,-76.9869086226,,2023/10/24 22:05:00+00,2023/10/24 22:08:00+00,431652874,
-77.0143271515773,38.9748456692839,23175843,2023/10/25 21:10:25+00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2023/10/25 15:54:00+00,2023/10/25 20:30:00+00,431652875,
-77.0198998472033,38.9140989209784,23173998,2023/10/22 14:39:28+00,DAY,OTHERS,THEFT F/AUTO,6TH STREET NW AND S STREET NW,398274.35001235,138469.71999793,2,2G,3,306,Cluster 3,004801 2,004801,Precinct 21,38.9140911307,-77.0198975565,,2023/10/16 17:10:00+00,2023/10/16 18:35:00+00,431676653,
-77.0580828364515,38.9348320736476,23174050,2023/10/22 15:28:58+00,DAY,OTHERS,THEFT/OTHER,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,394964.33,140772.69,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9348242806,-77.0580805327,,2023/10/22 15:10:00+00,2023/10/22 15:15:00+00,431676654,
-77.0429516430044,38.9350842701705,23174234,2023/10/22 23:00:38+00,EVENING,OTHERS,THEFT F/AUTO,1800 - 1999 BLOCK OF INGLESIDE TERRACE NW,396276.24,140799.96,1,1D,3,302,Cluster 2,002704 1,002704,Precinct 40,38.9350764765,-77.0429493439,,2023/10/22 22:00:00+00,,431676655,
-77.0050220150889,38.8788563575542,23181001,2023/11/04 03:16:15+00,MIDNIGHT,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF NEW JERSEY AVENUE SE,399564.44,134557.34,6,8F,1,106,Cluster 27,007202 2,007202,Precinct 131,38.8788485738,-77.0050197313,CAPITOL RIVERFRONT,2023/11/03 21:39:00+00,2023/11/03 22:19:00+00,431676656,
-76.9815556582626,38.8465455053289,23181442,2023/11/05 10:25:49+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1500 - 1699 BLOCK OF ALABAMA AVENUE SE,401601.33,130970.75,8,8E,7,704,Cluster 38,007304 4,007304,Precinct 120,38.8465377272,-76.9815533837,,2023/11/04 18:01:00+00,2023/11/04 19:03:00+00,431676657,
-76.9911198394066,38.9340291161528,23181696,2023/11/05 04:12:21+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3600 - 3699 BLOCK OF 12TH STREET NE,400770.13,140681.99,5,5B,5,504,Cluster 22,009301 2,009301,Precinct 68,38.9340213208,-76.9911175566,,2023/11/05 00:30:00+00,2023/11/05 03:05:00+00,431676658,
-77.0700241432497,38.9553696493056,23182150,2023/11/06 02:17:14+00,EVENING,OTHERS,THEFT/OTHER,5000 - 5099 BLOCK OF CONNECTICUT AVENUE NW,393930.75,143053.27,3,3F,2,203,Cluster 10,001402 3,001402,Precinct 138,38.9553618526,-77.0700218345,,2023/11/05 22:00:00+00,2023/11/06 00:42:00+00,431676659,
-77.0441825353445,38.9004627191607,23182475,2023/11/06 17:47:06+00,DAY,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF PENNSYLVANIA AVENUE NW,396167.66,136956.73,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9004549325,-77.044180238,GOLDEN TRIANGLE,2023/11/06 14:30:00+00,2023/11/06 17:05:00+00,431676660,
